Campaign,Ad Group,Keyword,Criterion Type,Max CPC,Final URL,Campaign Status,Ad Group Status,Status,Comment
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Geo San Francisco Repair,sub zero service san francisco ca,Exact,42.00,https://appliance-pros.netlify.app/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Exact
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Geo San Francisco Repair,sub zero service san francisco ca,Phrase,42.00,https://appliance-pros.netlify.app/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Phrase
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Geo San Francisco Repair,sub zero service san francisco,Exact,42.00,https://appliance-pros.netlify.app/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Exact
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Geo San Francisco Repair,sub zero service san francisco,Phrase,42.00,https://appliance-pros.netlify.app/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Phrase
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Geo San Francisco Repair,sub zero service in san francisco ca,Exact,42.00,https://appliance-pros.netlify.app/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Exact
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Geo San Francisco Repair,sub zero service in san francisco ca,Phrase,42.00,https://appliance-pros.netlify.app/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Phrase
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Geo San Francisco Repair,sub zero appliance repair san francisco,Exact,42.00,https://appliance-pros.netlify.app/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Exact
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Geo San Francisco Repair,sub zero appliance repair san francisco,Phrase,42.00,https://appliance-pros.netlify.app/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Phrase
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Geo San Francisco Repair,sub zero refrigerator repair san francisco,Exact,42.00,https://appliance-pros.netlify.app/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Exact
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Geo San Francisco Repair,sub zero refrigerator repair san francisco,Phrase,42.00,https://appliance-pros.netlify.app/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Phrase
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Geo San Francisco Repair,sub zero repair san francisco,Exact,42.00,https://appliance-pros.netlify.app/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Exact
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Geo San Francisco Repair,sub zero repair san francisco,Phrase,42.00,https://appliance-pros.netlify.app/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Phrase
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Geo San Francisco Repair,san francisco sub zero appliance repair,Exact,42.00,https://appliance-pros.netlify.app/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Exact
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Geo San Francisco Repair,san francisco sub zero appliance repair,Phrase,42.00,https://appliance-pros.netlify.app/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Phrase
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Geo San Francisco Repair,sub zero repair in san francisco ca,Exact,42.00,https://appliance-pros.netlify.app/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Exact
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Geo San Francisco Repair,sub zero repair in san francisco ca,Phrase,42.00,https://appliance-pros.netlify.app/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Phrase
